Processes: 305 total, 2 running, 303 sleeping, 1508 threads 
2020/10/06 14:30:01
Load Avg: 2.62, 4.03, 4.61 
CPU usage: 14.10% user, 34.61% sys, 51.28% idle 
SharedLibs: 154M resident, 52M data, 12M linkedit.
MemRegions: 166522 total, 1671M resident, 54M private, 854M shared.
PhysMem: 7826M used (3311M wired), 365M unused.
VM: 1420G vsize, 1993M framework vsize, 63112809(0) swapins, 66284402(0) swapouts.
Networks: packets: 121442898/137G in, 57233235/8970M out.
Disks: 53236517/850G read, 42358067/717G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD    SYSMACH    CSW       PAGEINS IDLEW     POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
60438  system_installd  0.0  00:00.02 2     1   40     1112K 0B    1104K 60438 1     sleeping *0[4]       0.00000 0.00000    0   1935      164     174        71         721       309        262       13      0         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
60437  installd         0.0  00:06.94 2     1   66     22M   0B    22M   60437 1     sleeping *0[8]       0.00000 0.00000    0   38034     227     3340       1436       55069     7141       21418     99      6         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
60436  AssetCache       0.0  00:00.12 2     1   46     3780K 0B    3624K 60436 1     sleeping *0[2]       0.00000 0.00000    235 3466      231     220        99         1483      515        1271      234     4         0.0   0      0      _assetcache        N/A    N/A   N/A   N/A   N/A   N/A  
60434  deleted_helper   0.0  00:00.36 2     1   21     840K  0B    832K  60434 1     sleeping *0[462]     0.00000 0.00000    0   1367      133     7798       3546       11148     8863       5087      1       1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
60433  deleted          0.0  01:29.99 3     2   50     4156K 0B    4124K 60433 1     sleeping *0[322]     0.00000 0.00000    501 1786298   177     223987     99617      3754456   244083     423005    138     255       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60331  com.apple.sbd    0.0  00:00.55 2     1   56     4080K 0B    3860K 60331 1     sleeping  0[0]       0.00000 0.00000    501 9961      222     661        111        20646     5101       4859      201     16        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60326  fileproviderd    0.0  00:00.35 2     1   127    4980K 0B    3424K 60326 1     sleeping *0[20]      0.00000 0.00000    501 12464     302     1345       356        5867      2634       3308      270     45        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60322  parsecd          0.0  00:00.54 2     1   63     4916K 0B    3812K 60322 1     sleeping *0[15]      0.00000 0.00000    501 13822     396     2557       772        7442      3820       6035      525     139       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60300  pkd              0.0  00:01.87 2     1   86     4440K 0B    2536K 60300 1     sleeping *0[18]      0.00000 0.00000    501 14654     173     2613       485        40220     3554       11700     208     8         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60299  com.apple.quickl 0.0  00:00.23 3     1   80     2800K 0B    2556K 60299 1     sleeping *0[8]       0.00000 0.00000    501 7995      231     705        238        4771      1421       2930      347     5         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
59987  assistant_servic 0.0  00:02.33 3     1   154    13M   0B    11M   59987 1     sleeping *0[12]      0.00000 0.00000    501 30586     553     5230       1062       49496     9598       21120     2649    313       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
59985  dmd              0.0  00:00.20 2     1   65     2988K 0B    2708K 59985 1     sleeping *0[24]      0.00000 0.00000    501 8857      272     527        181        7124      1578       1777      193     7         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
59983  com.apple.siri.e 0.0  00:03.80 2     1   61     80M   0B    80M   59983 1     sleeping *0[13]      0.00000 0.00000    501 103537    391     2179       947        25702     4619       22278     5610    19        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
59979  callservicesd    0.0  00:00.84 4     1   227    9604K 0B    7748K 59979 1     sleeping *0[51]      0.00000 0.00000    501 25096     539     3015       783        15354     7398       9977      2110    39        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
